instance,time_s,conflicts,timed_out,too_fast,too_few_conflicts,kept,reason
3159a02d096424aab6295c76360633a9-SCPC-500-10.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
3176c9024f756e99dbee852e5c0aa578-Break_triple_12_30.xml.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
31cc22a0f42ebaa109a5b807eb6178c2-Break_20_54.xml.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
324e19a2991a29d0765ad256fb7aee85-j3037_9_gmto_b.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
34c2410669b8063d4b0a16a40b071536-sum_of_three_cubes_still_open_large.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
351746fa3de2464c903c85e726cfed55-linked_list_swap_contents_safety_unwind67.cnf,300,2077,TRUE,FALSE,FALSE,TRUE,kept_timeout
354936f86e55ab8d00e6e1f5f7c140a9-xor_op_n44_d3.cnf,300,1496156,TRUE,FALSE,FALSE,TRUE,kept_timeout
354c2088ae7648e1dc51d12947c8043a-bobsmdct_init_k88.cnf,300,87372,TRUE,FALSE,FALSE,TRUE,kept_timeout
35ad744923721e37a2f58443179c31a8-coreMQTT%3AMQTT_SerializeConnect.cnf,300,25745,TRUE,FALSE,FALSE,TRUE,kept_timeout
3666617901c8500d78700dac959729d4-pj2002_k9.cnf,300,2077,TRUE,FALSE,FALSE,TRUE,kept_timeout
367c25ad50259a685a25b86d6dd171b2-GP_100_950_33.cnf,300,17096,TRUE,FALSE,FALSE,TRUE,kept_timeout
36ecf4ba0451f40e4ede9a1b2ab914f7-af-synthesis_stb_50_200_4_sat.cnf,300,196845,TRUE,FALSE,FALSE,TRUE,kept_timeout
372021735d9e46002b862aa2a038a818-j3045_4_rggt_bm1.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
39b3fde35939134f3b011ebb31842610-PancakeVsInsertSort_9_4.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
3b97191d94abf3a5e97d6359d886d9df-summle_X111121_steps7_I1-2-2-4-4-8-25-100.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
3cbd82017c4a304c014dd87a69f6028c-bmc_QICE_req_sfl_30.cnf,300,11330,TRUE,FALSE,FALSE,TRUE,kept_timeout
3d2a6e5c2f8f58dee79fd50444009625-cfi-rigid-z2-0088-03-or_2_shuffle_all.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
3d2b0088dccf11d1f82c89b7122c26e1-cfi-rigid-z2-0088-01-or_2_shuffle_all.cnf,300,131161,TRUE,FALSE,FALSE,TRUE,kept_timeout
3d449de3d6e722c9ce4a38ec748ee3cf-sudoku-N30-10.cnf,300,11330,TRUE,FALSE,FALSE,TRUE,kept_timeout
3d4beaebb3d87819ce9ff59e72047ef7-sudoku-N30-20.cnf,300,11330,TRUE,FALSE,FALSE,TRUE,kept_timeout
3e2fe1556893706475f9dd19c1a7b8fe-mdp-32-12-sat.cnf,300,997368,TRUE,FALSE,FALSE,TRUE,kept_timeout
3fb045f58aaf394165735c39c49fad92-linked_list_swap_contents_safety_unwind56.cnf,205.84,3089,FALSE,FALSE,FALSE,TRUE,kept
3fb297f59ad2dc32fd3f79d61951d8cb-Carry_Bits_Fast_4.cnf.cnf,300,295371,TRUE,FALSE,FALSE,TRUE,kept_timeout
3ff263696219ca9e301b0a1b345eb9aa-SCPC-500-4.cnf,300,443160,TRUE,FALSE,FALSE,TRUE,kept_timeout
41423c03ef173a5b81d6e6776f316fa5-PancakeVsInsertSort_7_8.cnf,300,664843,TRUE,FALSE,FALSE,TRUE,kept_timeout
4348c6b9af237291558b154a9de82969-aws-encryption-sdk-c%3Aaws_cryptosdk_priv_hdr_parse_aad.cnf,300,3216,TRUE,FALSE,FALSE,TRUE,kept_timeout
